#   x       y(x)         y(x)^2         classical p(x)      V
 -7.720  0.23668673E-09  0.56020607E-19  0.00000000E+00   29.799200
 -7.710  0.25431314E-09  0.64675172E-19  0.00000000E+00   29.722050
 -7.700  0.27322290E-09  0.74650753E-19  0.00000000E+00   29.645000
 -7.690  0.29350723E-09  0.86146492E-19  0.00000000E+00   29.568050
 -7.680  0.31526364E-09  0.99391166E-19  0.00000000E+00   29.491200
 -7.670  0.33859643E-09  0.11464754E-18  0.00000000E+00   29.414450
 -7.660  0.36361704E-09  0.13221735E-18  0.00000000E+00   29.337800
 -7.650  0.39044462E-09  0.15244700E-18  0.00000000E+00   29.261250
 -7.640  0.41920651E-09  0.17573409E-18  0.00000000E+00   29.184800
 -7.630  0.45003878E-09  0.20253490E-18  0.00000000E+00   29.108450
 -7.620  0.48308683E-09  0.23337288E-18  0.00000000E+00   29.032200
 -7.610  0.51850600E-09  0.26884847E-18  0.00000000E+00   28.956050
 -7.600  0.55646223E-09  0.30965022E-18  0.00000000E+00   28.880000
 -7.590  0.59713278E-09  0.35656756E-18  0.00000000E+00   28.804050
 -7.580  0.64070695E-09  0.41050540E-18  0.00000000E+00   28.728200
 -7.570  0.68738689E-09  0.47250074E-18  0.00000000E+00   28.652450
 -7.560  0.73738847E-09  0.54374176E-18  0.00000000E+00   28.576800
 -7.550  0.79094213E-09  0.62558946E-18  0.00000000E+00   28.501250
 -7.540  0.84829390E-09  0.71960254E-18  0.00000000E+00   28.425800
 -7.530  0.90970636E-09  0.82756565E-18  0.00000000E+00   28.350450
 -7.520  0.97545976E-09  0.95152175E-18  0.00000000E+00   28.275200
 -7.510  0.10458532E-08  0.10938089E-17  0.00000000E+00   28.200050
 -7.500  0.11212057E-08  0.12571023E-17  0.00000000E+00   28.125000
 -7.490  0.12018579E-08  0.14444624E-17  0.00000000E+00   28.050050
 -7.480  0.12881728E-08  0.16593892E-17  0.00000000E+00   27.975200
 -7.470  0.13805379E-08  0.19058850E-17  0.00000000E+00   27.900450
 -7.460  0.14793663E-08  0.21885248E-17  0.00000000E+00   27.825800
 -7.450  0.15850987E-08  0.25125378E-17  0.00000000E+00   27.751250
 -7.440  0.16982047E-08  0.28838993E-17  0.00000000E+00   27.676800
 -7.430  0.18191853E-08  0.33094351E-17  0.00000000E+00   27.602450
 -7.420  0.19485743E-08  0.37969419E-17  0.00000000E+00   27.528200
 -7.410  0.20869409E-08  0.43553223E-17  0.00000000E+00   27.454050
 -7.400  0.22348916E-08  0.49947403E-17  0.00000000E+00   27.380000
 -7.390  0.23930726E-08  0.57267964E-17  0.00000000E+00   27.306050
 -7.380  0.25621727E-08  0.65647289E-17  0.00000000E+00   27.232200
 -7.370  0.27429255E-08  0.75236405E-17  0.00000000E+00   27.158450
 -7.360  0.29361127E-08  0.86207579E-17  0.00000000E+00   27.084800
 -7.350  0.31425667E-08  0.98757255E-17  0.00000000E+00   27.011250
 -7.340  0.33631741E-08  0.11310940E-16  0.00000000E+00   26.937800
 -7.330  0.35988791E-08  0.12951931E-16  0.00000000E+00   26.864450
 -7.320  0.38506868E-08  0.14827789E-16  0.00000000E+00   26.791200
 -7.310  0.41196676E-08  0.16971661E-16  0.00000000E+00   26.718050
 -7.300  0.44069607E-08  0.19421302E-16  0.00000000E+00   26.645000
 -7.290  0.47137787E-08  0.22219710E-16  0.00000000E+00   26.572050
